NH4inf ,FA,pH,HRT,Temperature,NLR,AOB
368.17,15.44,7.7,24,28.23,0.43,13.59
420.88,14.61,7.7,24,25.46,0.6,18.46
350.64,10.18,7.7,24,22.9,0.57,19.77
1194.5,56.41,7.7,24,30,1.41,8.59
45.1,0.84,7.55,10.5,21.5,0.54,0.35
106.67,4.51,7.65,12,30,0.21,2.59
99.95,4.22,7.65,12,30,0.2,2.31
100.31,4.24,7.65,15,30,0.16,2.45
200,4.29,7.2,6,35,0.8,17.21
200,4.29,7.2,6,35,0.8,13.93
350.24,97.87,8.45,48,34,0.18,15
52.22,1.56,7.65,24,24.95,0.05,0.38
78.78,2.46,7.65,24,25.57,0.08,0.55
64.01,1.03,7.65,24,16.31,0.06,0.74
120,5.41,7.7,150,29.3,0.02,14
120,5.41,7.7,150,29.3,0.02,6
120,5.41,7.7,150,29.3,0.02,1
180,5.05,7.5,150,28.9,0.03,1
180,5.05,7.5,150,28.9,0.03,18
180,5.05,7.5,150,28.9,0.03,13
220,5.27,7.4,150,29.9,0.04,22
220,5.27,7.4,150,29.9,0.04,17
220,5.27,7.4,150,29.9,0.04,29
220,19.45,8,300,29.6,0.02,17
220,19.45,8,300,29.6,0.02,4
220,19.45,8,300,29.6,0.02,3
220,33.38,8.1,48,35,0.11,20.09
250,24.67,7.98,48,32,0.13,18.27
250,24.67,7.98,48,32,0.13,9.09
180,26.89,8.27,48,29,0.09,16.12
180,26.89,8.27,48,29,0.09,5.97
180,2.4,7.23,48,27,0.09,20.5
180,2.4,7.23,48,27,0.09,5.45
400,36.28,8,16,30,0.6,6.5
50,4.62,7.86,2,35.03,0.6,5.9
50,7.01,7.99,2,37.46,0.6,3
750,43.91,7.65,13.33,35,1.35,3.07
50,3.32,7.65,1.7,37,0.71,7.3
52.19,6.62,8.16,24,30,0.05,0.4
48.96,6.21,8.16,24,30,0.05,0.38
53.6,0.21,7,13.6,17.3,0.09,0.29
50,3.26,8,2,25,0.6,2.7
50,3.26,8,2,25,0.6,16.1
50,3.26,8,2,25,0.6,11.7
50,3.26,8,2,25,0.6,1.5
50,3.26,8,2,25,0.6,4
50,3.26,8,2,25,0.6,5
50,1.07,7.5,5,25,0.24,2.34
66,0.51,7.15,11.2,22,0.14,1.93
66,0.51,7.15,22,22,0.07,0.26
66,0.51,7.15,22,22,0.07,0.39
66,0.51,7.15,22,22,0.07,1.03
678,28.5,7.5,39.32,35,0.41,5
713.76,11.93,7.5,40.44,21.5,0.42,2.6
219.32,3.66,7.5,25.31,21.5,0.21,1.5
127.87,9.15,7.95,1.5,28,2.05,24.34
125.91,9.01,7.95,1.1,28,2.3,28.05
122.11,8.74,7.95,0.9,28,2.5,11.57
102.29,5.51,7.76,24,30,0.1,14.98
50,4.51,8.15,2,25,0.6,6.3
496,10.92,7.9,79.2,13,0.15,0.36
170,2.99,7.8,76.8,13,0.05,0.3
129,1.14,7.5,55.2,13,0.06,0.26
86,0.3,7.1,38.4,13,0.05,0.17
160.58,0.91,7.05,4.7,20.7,0.82,1.31
134.13,0.67,7.05,3.7,19,0.87,1.4
129.5,0.56,7.05,3.7,17.1,0.84,0.93
132.58,0.5,7.05,3.7,15.2,0.86,1.53
112.54,0.4,7.05,3.7,14.4,0.73,2.2
141.54,0.55,7.05,4.3,15.6,0.79,2.43
152.29,0.7,7.05,4.3,18,0.85,2.61
131.25,0.7,7.05,3.5,19.9,0.9,2.18
108.75,0.58,7.05,2.9,20,0.9,2.18
120.38,0.64,7.05,2.7,19.8,1.07,2.64
111.38,0.51,7.05,2.7,17.9,0.99,1.45
119.17,0.43,7.05,2.6,14.7,1.1,2.52
92.96,0.29,7.05,2.3,13,0.97,3.07
92.96,0.29,7.05,2.3,13,0.97,1.79
112.5,0.4,7.05,2.7,14.4,1,1.23
108.33,0.43,7.05,2.6,16.1,1,1.41
53.75,0.27,7.05,3,19.1,0.43,0.92
121.83,0.66,7.05,6.8,20.2,0.43,0.55
127.08,0.54,7.05,6.1,17,0.5,0.82
127.08,0.54,7.05,6.1,17,0.5,0.72
127.08,0.54,7.05,6.1,17,0.5,0.41
517.2,19.09,7.5,48,33,0.26,6.73
475.07,17.53,7.5,24,33,0.48,23.3
503.08,18.57,7.5,24,33,0.5,20.14
33.4,0.14,6.78,4,25,0.2,5.6
35.1,0.2,7.08,4,20,0.21,1
30.9,0.12,7.09,4,15,0.19,1
238.81,29.53,8.3,8,25,0.72,0.55
585.47,133.62,8.61,16,25,0.88,1.84
615.7,84.37,8.35,16,25,0.92,3.19
323.46,49.06,8.4,16,25,0.49,5.65
307.34,32.16,8.22,16,25,0.46,1.72
50,1.34,7.6,2,25,0.6,10.5
27.29,0.22,7.4,19.29,14.83,0.03,0.5
18.77,0.16,7.4,20.07,15.35,0.02,0.42
17.57,0.15,7.4,9.4,15.88,0.04,0.35
21.18,0.18,7.4,8.88,15.14,0.06,0.43
22.57,0.23,7.4,6.91,17.94,0.08,0.57
22.3,0.19,7.4,9.03,15.4,0.06,1.13
20.63,0.18,7.4,11.11,15.83,0.04,0.46
24.24,0.2,7.4,10.59,15.14,0.05,0.48
26.74,0.22,7.4,12.19,14.95,0.05,0.38
29.24,0.24,7.4,12.45,15.09,0.06,0.27
30.08,0.26,7.4,11.67,15.57,0.06,0.18
34.52,0.29,7.4,13.11,15.26,0.06,0.43
27.03,0.25,7.4,11.78,16.76,0.06,0.42
21.74,0.18,7.4,10.07,15.44,0.05,0.47
20.9,0.18,7.4,11.67,15.35,0.04,0.35
21,0.18,7.4,12.97,15.22,0.04,0.23
21.09,0.18,7.4,14.82,15.35,0.03,0.28
21.36,0.2,7.4,22.45,16.76,0.02,0.33
23.03,0.2,7.4,12.3,15.52,0.04,0.8
20.34,0.18,7.4,11.67,15.66,0.04,2.03
31.46,0.27,7.4,10.22,15.44,0.07,1.77
17.28,0.15,7.4,9.67,15.4,0.04,0.98
19.24,0.23,7.4,7.32,19.74,0.06,1.41
25.35,0.26,7.4,8.62,17.77,0.07,1.35
23.03,0.2,7.4,18.62,15.88,0.03,1.46
19.13,0.18,7.4,11.52,16.58,0.04,1.42
15.72,0.13,7.4,11.67,15,0.03,1.21
22.39,0.19,7.4,16.65,15.49,0.03,1.79
31.29,0.27,7.4,10.85,15.83,0.07,1.32
34.63,0.28,7.4,11,14.69,0.08,0.94
44.9,0.77,7.4,17.5,25,0.06,0.2
44.9,0.77,7.4,17.5,25,0.06,0.5
44.9,0.77,7.4,17.5,25,0.06,0.6
100,15.17,8.1,24,35,0.1,1.8
200,30.34,8.1,24,35,0.2,2.76
72.15,2.13,7.8,1.3,20,1.33,30.6
110.05,8.78,7.94,74.08,30,0.04,0.1
116.05,9.26,7.94,9.48,30,0.29,0.5
250,30.92,8,6,35,1,2.1
50,6.18,8,4,35,0.3,6.94
100,4.2,7.5,6,35,1.2,7.1
250,30.92,8,6,35,1,19
250,30.92,8,6,35,1,4.87
250,12.06,7.65,4,32,1.5,2
50,2.41,7.65,2,32,0.6,2.7
50,0.73,7.65,2,15,0.6,1.5
50,2.41,7.65,2,32,0.6,4.7
46.32,1.87,7.75,12,26,0.09,2.18
46.96,1.89,7.75,12,26,0.09,0.48
45.41,1.83,7.75,12,26,0.09,27
46.12,1.86,7.75,12,26,0.09,4.18
500,21.46,7.65,12,30.23,1,13.8
50.25,3.28,8,2,25,0.6,2.5
49.52,3.23,8,2,25,0.59,5.9
495,47.6,8.18,12,25,0.99,14.99
502,84.14,8.45,12,25,1,3.26
963,102.9,8.23,24,25,0.96,1.9
1495,132.02,8.14,36,25,1,3.4
2000,194.63,8.16,50.5,25,1,11.57
251.99,24.08,7.95,12,32.5,0.5,8.5
249.06,23.8,7.95,12,32.5,0.5,5.4
266.88,25.5,7.95,8,32.5,0.8,10.2
220.4,21.06,7.95,6,32.5,0.88,5.2
331.08,13.99,7.65,1.5,30,2.5,3.3
67.42,1.17,7.5,17,22,0.1,0.27
50.75,2.14,7.65,12,30,0.1,0.98
58.15,2.46,7.65,12,30,0.12,0.77
250,13.11,7.9,6,25,1,5.2
250,13.11,7.9,6,25,1,7.5
250,13.11,7.9,6,25,1,5.5
250,13.11,7.9,6,25,1,0.5
147.49,13.38,8,8,30,0.44,2.98
249.64,22.64,8,8,30,0.75,10.11
248.53,22.54,8,8,30,0.75,14.79
251.98,22.86,8,6,30,1.01,28.92
270.28,24.52,8,6,30,1.08,20.76
347.71,31.54,8,6,30,1.39,23.01
60.2,0.69,7.2,15.85,25.8,0.09,1.39
59.6,0.44,7.2,18.79,19.7,0.08,1.68
49.57,0.23,7.2,20.66,13.7,0.06,1.38
