Day,pH,HRT,Temperature,NRR,AnAOB
51,7.7,24,28.23,0.05,2.09
77,7.7,24,25.46,0.29,2.49
111,7.7,24,22.9,0.26,2.69
215,7.7,24,30,0.39,5.51
191,7.55,10.5,21.5,0.08,0.7
1,7.65,12,30,0.1,0.19
69,7.65,12,30,0.1,1.54
119,7.65,15,30,0.13,2.43
30,7.2,6,35,0.64,2.95
60,7.2,6,35,0.55,0.92
120,8.45,48,34,0.16,26.89
17,7.65,24,24.95,0.04,0.26
140,7.65,24,25.57,0.07,0.97
201,7.65,24,16.31,0.06,1.79
404,8.23,153.79,29.5,0.29,3.2
238,7.7,150,29.3,0.01,32
275,7.7,150,29.3,0.01,4
313,7.7,150,29.3,0.01,10
324,7.5,150,28.9,0.02,2
352,7.5,150,28.9,0.02,31
373,7.5,150,28.9,0.02,30
391,7.4,150,29.9,0.03,30
412,7.4,150,29.9,0.02,22
445,7.4,150,29.9,0.03,22
516,8,300,29.6,0.01,30
551,8,300,29.6,0.01,41
600,8,300,29.6,0.01,13
157,8.1,48,35,0.05,0.67
226,7.98,48,32,0.06,0.19
226,7.98,48,32,0.06,1.71
275,8.27,48,29,0.05,6.77
275,8.27,48,29,0.05,19.29
307,7.23,48,27,0.07,2.6
307,7.23,48,27,0.07,14.31
234,8,16,30,0.49,20.5
90,7.31,2,23.31,0.16,3.73
300,7.92,2,29.55,0.48,35
510,7.86,2,35.03,0.02,5.95
630,7.99,2,37.46,0.27,16.42
53,7.65,13.33,35,0.87,1.82
53,7.65,1.7,37,0.55,14.8
95,8.16,24,30,0.05,1.58
45,8.16,24,30,0.01,0.39
50,7.5,6.4,22.5,0.1,0.71
195,7,13.6,17.3,0.08,2.53
50,8,2,25,0.47,15.2
65,8,2,25,0.09,11
155,8,2,25,0.45,22.4
70,8,2,25,0.42,14.1
85,8,2,25,0.1,13.2
155,8,2,25,0.41,27.8
380,7.5,5,25,0.13,31.49
26,7.15,11.2,22,0.01,2.78
240,7.15,22,22,0.04,2.9
324,7.15,22,22,0.05,13.75
432,7.15,22,22,0.01,9.87
219,7.5,39.32,35,0.35,11
314,7.5,40.44,21.5,0.36,15.4
382,7.5,25.31,21.5,0.18,28
50,7.95,1.5,28,0.57,1.3
90,7.95,1.1,28,1.7,1.98
143,7.95,0.9,28,1.8,4.49
94,7.76,24,30,0.06,29.98
200,8.15,2,25,0.44,29.7
55,7.9,79.2,13,0.02,56
133,7.8,76.8,13,0.01,56
189,7.5,55.2,13,0.02,50
258,7.1,38.4,13,0.02,57
331,8,2,29,0.27,20.1
649,8,2,35,0.35,15.3
155,7.05,4.7,20.7,0.68,10.59
192,7.05,3.7,19,0.69,14.71
224,7.05,3.7,17.1,0.59,12.23
247,7.05,3.7,15.2,0.72,16.22
297,7.05,3.7,14.4,0.64,20.57
332,7.05,4.3,15.6,0.67,15.25
375,7.05,4.3,18,0.73,15.99
424,7.05,3.5,19.9,0.78,20.18
487,7.05,2.9,20,0.73,24.1
537,7.05,2.7,19.8,0.9,20.11
589,7.05,2.7,17.9,0.72,16.22
616,7.05,2.6,14.7,1.01,20.87
639,7.05,2.3,13,0.87,17.78
679,7.05,2.3,13,0.76,20.18
723,7.05,2.7,14.4,0.79,20.87
759,7.05,2.6,16.1,0.81,23.05
828,7.05,3,19.1,0.31,19.83
869,7.05,6.8,20.2,0.35,29.72
922,7.05,6.1,17,0.43,19.06
983,7.05,6.1,17,0.47,28.14
998,7.05,6.1,17,0.45,31.05
64,7.5,48,33,0.22,26.95
118,7.5,24,33,0.4,17.97
168,7.5,24,33,0.43,14.07
57,6.78,4,25,0.16,9.8
108,7.08,4,20,0.17,6.8
151,7.09,4,15,0.13,11.4
145,8.3,8,25,0.41,32.33
196,8.61,16,25,0.71,26.2
231,8.35,16,25,0.45,26.65
300,8.4,16,25,0.36,18.25
350,8.22,16,25,0.34,21.2
100,7.6,2,25,0.43,29.9
33,7.4,19.29,14.83,0.03,1.12
49,7.4,20.07,15.35,0.01,8.65
65,7.4,9.4,15.88,0.02,7.81
79,7.4,8.88,15.14,0.03,5.62
97,7.4,6.91,17.94,0.05,8.71
117,7.4,9.03,15.4,0.03,10.34
131,7.4,11.11,15.83,0.03,8.65
148,7.4,10.59,15.14,0.03,9.6
168,7.4,12.19,14.95,0.03,10.74
197,7.4,12.45,15.09,0.04,12.42
219,7.4,11.67,15.57,0.05,14.78
247,7.4,13.11,15.26,0.05,15.23
261,7.4,11.78,16.76,0.04,12.76
274,7.4,10.07,15.44,0.04,8.93
303,7.4,11.67,15.35,0.04,12.08
317,7.4,12.97,15.22,0.03,15.11
342,7.4,14.82,15.35,0.03,13.55
352,7.4,22.45,16.76,0.02,9.49
391,7.4,12.3,15.52,0.04,8.48
401,7.4,11.67,15.66,0.03,7.98
418,7.4,10.22,15.44,0.06,3.26
434,7.4,9.67,15.4,0.04,10.46
461,7.4,7.32,19.74,0.05,11.91
475,7.4,8.62,17.77,0.06,20.23
490,7.4,18.62,15.88,0.02,15.11
496,7.4,11.52,16.58,0.03,15.4
502,7.4,11.67,15,0.03,19.17
516,7.4,16.65,15.49,0.03,5
549,7.4,10.85,15.83,0.06,7.65
565,7.4,11,14.69,0.07,10.4
35,7.4,17.5,25,0.05,17.1
70,7.4,17.5,25,0.04,13.7
95,7.4,17.5,25,0.03,2.3
62,8.1,24,35,0.07,12.47
106,8.1,24,35,0.15,12.65
264,7.8,1.3,20,0.97,4.45
320,7.8,1.3,20,1.08,8.41
69,7.94,74.08,30,0.03,21.14
195,7.94,9.48,30,0.11,2.95
14,8,6,35,0.66,17.24
46,8,4,35,0.04,4.92
61,7.5,6,35,0.08,3.61
90,8,6,35,0.41,3.92
114,8,6,35,0.64,8.86
25,7.65,4,32,1.27,17.2
110,7.65,2,32,0.42,15.3
190,7.65,2,15,0.28,14.1
250,7.65,2,32,0.39,18.5
45,7.75,12,26,0.07,13.91
45,7.75,12,26,0.01,9.74
45,7.75,12,26,0.02,13.05
45,7.75,12,26,0.04,1.64
27,7.65,12,30.23,0.34,18.5
35,8,2,25,0.02,3.5
120,8,2,25,0.41,11
25,8.18,12,25,0.82,22.24
81,8.45,12,25,0.88,14.47
102,8.23,24,25,0.88,13.76
147,8.14,36,25,0.91,20.07
171,8.16,50.5,25,0.85,8.83
5,7.95,12,32.5,0.17,8.2
60,7.95,12,32.5,0.37,10.4
175,7.95,8,32.5,0.64,3.2
235,7.95,6,32.5,0.68,7.4
350,7.95,4,32.5,1.16,2.3
165,7.65,1.5,30,2.3,35.4
83,7.5,18,22,0.06,0.52
179,7.5,17,22,0.09,0.9
31,7.65,12,30,0.01,0.1
213,7.65,12,30,0.1,0.79
35,7.9,6,25,0.81,7.4
150,7.9,6,25,0.93,4.7
250,7.9,6,25,0.57,0.8
30,8,8,30,0.08,0.14
45,8,8,30,0.14,0.08
60,8,8,30,0.25,0.09
100,8,6,30,0.42,1.41
150,8,6,30,0.69,1.29
200,8,6,30,0.97,5.02
33,7.2,15.85,25.8,0.09,0.54
71,7.2,18.79,19.7,0.07,0.37
129,7.2,20.66,13.7,0.05,0.29
50,7.75,24,31,0.28,2.2
125,7.75,20,31,0.37,22.7
125,7.75,12,31,0.71,34.4
27,7.2,12,25,0.08,0.96
46,7.2,12,25,0.07,9.05
126,7.2,16,30,0.02,1.27
188,7.2,16,30,0.05,13.41
264,7.2,16,30,0.03,0.65
290,7.2,16,30,0.03,8.39
423,7.2,12,25,0.08,8.43
64,7.8,0.9,25,1.55,47.4
229,7.8,0.5,25,0.53,20
75,7.65,5.7,30,0.06,0.77
92,7.65,6.42,30,0.04,0.25
154,8.24,6,25,1.03,24.3
224,8.07,6,25,1.27,26.03
21,8.43,15,26,1.03,29.74
51,8.16,15,26,1.15,22.84
66,8.58,15,26,1.49,17.19
85,8.25,15,26,0.75,15.26
93,8.34,15,26,1.01,14
175,7.58,3,25,0.26,5.44
348,7.58,3,25,0.35,13.22
