NH4+-Ninf ,NH4+-Neff,NO2--Neff,NO3--Neff,TN--eff,FA,FNA,Day,O2,pH,HRT,Temperature,NLR,NRR,AnAOB
368.17,278.76,3.15,90.3,372.21,15.44,0.44,51,0.24,7.7,24,28.23,0.43,0.05,2.09
420.88,147,1.79,161.16,309.94,14.61,0.27,77,0.25,7.7,24,25.46,0.6,0.29,2.49
350.64,132.83,1.79,175.33,309.94,10.18,0.28,111,0.25,7.7,24,22.9,0.57,0.26,2.69
1194.5,16.69,29.63,3.9,50.22,56.41,3.93,215,2.5,7.7,24,30,1.41,0.39,5.51
45.1,0.87,0.01,4.57,5.44,0.84,0,191,0.5,7.55,10.5,21.5,0.54,0.08,0.7
106.67,23.45,24.14,7.38,54.97,4.51,3.59,1,0.65,7.65,12,30,0.21,0.1,0.19
99.95,18.2,0.01,30.12,48.32,4.22,0,69,0.35,7.65,12,30,0.2,0.1,1.54
100.31,6.6,0.01,12.39,18.99,4.24,0,119,0.2,7.65,15,30,0.16,0.13,2.43
200,15.29,16.98,6.65,38.93,4.29,6.29,30,0.3,7.2,6,35,0.8,0.64,2.95
200,4.2,0.01,58.87,63.07,4.29,0,60,1,7.2,6,35,0.8,0.55,0.92
350.24,5,5,27.06,37.06,97.87,0.11,120,1.23,8.45,48,34,0.18,0.16,26.89
52.22,10.32,0.01,0.58,10.9,1.56,0,17,1.25,7.65,24,24.95,0.05,0.04,0.26
78.78,8.43,0.01,3.25,11.68,2.46,0,140,0.2,7.65,24,25.57,0.08,0.07,0.97
64.01,1.83,0.01,2.46,4.3,1.03,0,201,0.1,7.65,24,16.31,0.06,0.06,1.79
1895.43,8.16,8.16,16.35,32.67,269.17,0.32,404,0.03,8.23,153.79,29.5,0.3,0.29,3.2
120,0.01,0.01,69.52,69.52,5.41,0,238,0.3,7.7,150,29.3,0.02,0.01,32
120,0.01,0.01,85.4,85.4,5.41,0,275,0.3,7.7,150,29.3,0.02,0.01,4
120,0.01,3.13,56.35,59.48,5.41,0.42,313,0.3,7.7,150,29.3,0.02,0.01,10
180,5.01,0.01,70.02,75.03,5.05,0,324,0.1,7.5,150,28.9,0.03,0.02,2
180,32.84,0.01,43.41,76.25,5.05,0,352,0.1,7.5,150,28.9,0.03,0.02,31
180,19.06,0.01,39.26,58.32,5.05,0,373,0.1,7.5,150,28.9,0.03,0.02,30
220,16.63,0.01,47.06,63.69,5.27,0,391,0.05,7.4,150,29.9,0.04,0.03,30
220,25.59,0.01,42.02,67.61,5.27,0,412,0.05,7.4,150,29.9,0.04,0.02,22
220,23.88,0.01,39.76,63.64,5.27,0,445,0.05,7.4,150,29.9,0.04,0.03,22
220,79.54,0.01,12.32,91.86,19.45,0,516,0.08,8,300,29.6,0.02,0.01,30
220,66.2,0.01,17.68,83.88,19.45,0,551,0.08,8,300,29.6,0.02,0.01,41
220,80.2,0.01,23.38,103.58,19.45,0,600,0.08,8,300,29.6,0.02,0.01,13
220,55,30,36,121,33.38,1.4,157,0.5,8.1,48,35,0.11,0.05,0.67
250,50,46,29,125,24.67,3.05,226,1.2,7.98,48,32,0.13,0.06,0.19
250,50,46,29,125,24.67,3.05,226,0.5,7.98,48,32,0.13,0.06,1.71
180,70,2.2,5,77.2,26.89,0.08,275,1.2,8.27,48,29,0.09,0.05,6.77
180,70,2.2,5,77.2,26.89,0.08,275,0.5,8.27,48,29,0.09,0.05,19.29
180,20,12,16,48,2.4,5.07,307,1.2,7.23,48,27,0.09,0.07,2.6
180,20,12,16,48,2.4,5.07,307,0.5,7.23,48,27,0.09,0.07,14.31
400,19.6,14.2,38.6,72.4,36.28,0.94,234,0.55,8,16,30,0.6,0.49,20.5
50,8.31,1.58,27.1,36.99,0.62,0.61,90,0.19,7.31,2,23.31,0.6,0.16,3.73
50,5.7,1.04,3.14,9.89,3.71,0.08,300,0.25,7.92,2,29.55,0.6,0.48,35
50,3.1,1.82,43.32,48.24,4.62,0.15,510,1,7.86,2,35.03,0.6,0.02,5.95
50,9.91,5.25,12.51,27.66,7.01,0.3,630,0.31,7.99,2,37.46,0.6,0.27,16.42
750,230,0.01,35,265,43.91,0,53,0.01,7.65,13.33,35,1.35,0.87,1.82
50,0.01,1.82,9.06,10.88,3.32,0.23,53,0.17,7.65,1.7,37,0.71,0.55,14.8
52.19,3.09,0.13,0.13,3.35,6.62,0.01,95,0.17,8.16,24,30,0.05,0.05,1.58
48.96,8.5,8.22,24.7,41.41,6.21,0.38,45,0.75,8.16,24,30,0.05,0.01,0.39
36.12,0.32,0.01,7.98,8.3,0.65,0,50,0.47,7.5,6.4,22.5,0.14,0.1,0.71
53.6,2.72,4.96,1.15,8.83,0.21,4.59,195,0.45,7,13.6,17.3,0.09,0.08,2.53
