NH4+-Ninf ,NH4+-Neff,NO2--Neff,FA,FNA,O2,pH,HRT,Temperature,NLR,NRR,Candidatus Kuenenia
368.17,278.76,3.15,15.44,0.44,0.24,7.7,24,28.23,0.43,0.05,2.09
420.88,147,1.79,14.61,0.27,0.25,7.7,24,25.46,0.6,0.29,2.49
350.64,132.83,1.79,10.18,0.28,0.25,7.7,24,22.9,0.57,0.26,2.69
1194.5,16.69,29.63,56.41,3.93,2.5,7.7,24,30,1.41,0.39,0.51
45.1,0.87,0.01,0.84,0,0.5,7.55,10.5,21.5,0.54,0.08,0
106.67,23.45,24.14,4.51,3.59,0.65,7.65,12,30,0.21,0.1,0.08
99.95,18.2,0.01,4.22,0,0.35,7.65,12,30,0.2,0.1,1.47
100.31,6.6,0.01,4.24,0,0.2,7.65,15,30,0.16,0.13,2.38
200,15.29,16.98,4.29,6.29,0.3,7.2,6,35,0.8,0.64,1.32
200,4.2,0.01,4.29,0,1,7.2,6,35,0.8,0.55,0.09
350.24,5,5,97.87,0.11,1.23,8.45,48,34,0.18,0.16,0
52.22,10.32,0.01,1.56,0,1.25,7.65,24,24.95,0.05,0.04,0
78.78,8.43,0.01,2.46,0,0.2,7.65,24,25.57,0.08,0.07,0
64.01,1.83,0.01,1.03,0,0.1,7.65,24,16.31,0.06,0.06,0
1895.43,8.16,8.16,269.17,0.32,0.03,8.23,153.79,29.5,0.3,0.29,1.7
120,0.01,0.01,5.41,0,0.3,7.7,150,29.3,0.02,0.01,0
120,0.01,0.01,5.41,0,0.3,7.7,150,29.3,0.02,0.01,0
120,0.01,3.13,5.41,0.42,0.3,7.7,150,29.3,0.02,0.01,0
180,5.01,0.01,5.05,0,0.1,7.5,150,28.9,0.03,0.02,0
180,32.84,0.01,5.05,0,0.1,7.5,150,28.9,0.03,0.02,0
180,19.06,0.01,5.05,0,0.1,7.5,150,28.9,0.03,0.02,0
220,16.63,0.01,5.27,0,0.05,7.4,150,29.9,0.04,0.03,0
220,25.59,0.01,5.27,0,0.05,7.4,150,29.9,0.04,0.02,0
220,23.88,0.01,5.27,0,0.05,7.4,150,29.9,0.04,0.03,0
220,79.54,0.01,19.45,0,0.08,8,300,29.6,0.02,0.01,0
220,66.2,0.01,19.45,0,0.08,8,300,29.6,0.02,0.01,0
220,80.2,0.01,19.45,0,0.08,8,300,29.6,0.02,0.01,0
220,55,30,33.38,1.4,0.5,8.1,48,35,0.11,0.05,0
250,50,46,24.67,3.05,1.2,7.98,48,32,0.13,0.06,0
250,50,46,24.67,3.05,0.5,7.98,48,32,0.13,0.06,0
180,70,2.2,26.89,0.08,1.2,8.27,48,29,0.09,0.05,0
180,70,2.2,26.89,0.08,0.5,8.27,48,29,0.09,0.05,0
180,20,12,2.4,5.07,1.2,7.23,48,27,0.09,0.07,0
180,20,12,2.4,5.07,0.5,7.23,48,27,0.09,0.07,0
400,19.6,14.2,36.28,0.94,0.55,8,16,30,0.6,0.49,20.5
50,8.31,1.58,0.62,0.61,0.19,7.31,2,23.31,0.6,0.16,3.7
50,5.7,1.04,3.71,0.08,0.25,7.92,2,29.55,0.6,0.48,0
50,3.1,1.82,4.62,0.15,1,7.86,2,35.03,0.6,0.02,0.14
50,9.91,5.25,7.01,0.3,0.31,7.99,2,37.46,0.6,0.27,0.12
750,230,0.01,43.91,0,0.01,7.65,13.33,35,1.35,0.87,1.82
50,0.01,1.82,3.32,0.23,0.17,7.65,1.7,37,0.71,0.55,0
52.19,3.09,0.13,6.62,0.01,0.17,8.16,24,30,0.05,0.05,0.93
48.96,8.5,8.22,6.21,0.38,0.75,8.16,24,30,0.05,0.01,0.39
36.12,0.32,0.01,0.65,0,0.47,7.5,6.4,22.5,0.14,0.1,0
53.6,2.72,4.96,0.21,4.59,0.45,7,13.6,17.3,0.09,0.08,0
50,6.55,1.02,3.26,0.08,0.2,8,2,25,0.6,0.47,0
50,1.02,0.69,3.26,0.05,0.95,8,2,25,0.6,0.09,0
50,5.05,1.02,3.26,0.08,0.3,8,2,25,0.6,0.45,0
50,7.92,5.84,3.26,0.44,0.13,8,2,25,0.6,0.42,0
50,1.02,39.9,3.26,3.01,0.23,8,2,25,0.6,0.1,0
