NH4inf,FA,FNA,Day,O2,pH,HRT,Temperature,Candidatus Kuenenia,Candidatus Brocadia,AnAOB,AOB,NOB,NLR,NRR
368.17,15.44,0.44,51,0.24,7.7,24,28.23,2.09,0,2.09,13.59,2.1,0.43,0.05
420.88,14.61,0.27,77,0.25,7.7,24,25.46,2.49,0,2.49,18.46,1.18,0.6,0.29
350.64,10.18,0.28,111,0.25,7.7,24,22.9,2.69,0,2.69,19.77,0.87,0.57,0.26
45.1,0.84,0,191,0.5,7.55,10.5,21.5,0,0.7,0.7,0.35,0.1,0.54,0.08
106.67,4.51,3.59,1,0.65,7.65,12,30,0.08,0.11,0.19,2.59,0.89,0.21,0.1
99.95,4.22,0,69,0.35,7.65,12,30,1.47,0.07,1.54,2.31,0.64,0.2,0.1
100.31,4.24,0,119,0.2,7.65,15,30,2.38,0.05,2.43,2.45,0.29,0.16,0.13
200,4.29,6.29,30,0.3,7.2,6,35,1.32,1.63,2.95,17.21,1.44,0.8,0.64
200,4.29,0,60,1,7.2,6,35,0.09,0.83,0.92,13.93,3.01,0.8,0.55
350.24,97.87,0.11,120,1.23,8.45,48,34,0,26.89,26.89,14.52,33.54,0.18,0.16
52.22,1.56,0,17,1.25,7.65,24,24.95,0,0.26,0.26,0.38,1.13,0.05,0.04
78.78,2.46,0,140,0.2,7.65,24,25.57,0,0.97,0.97,0.55,1.31,0.08,0.07
64.01,1.03,0,201,0.1,7.65,24,16.31,0,1.79,1.79,0.74,1.66,0.06,0.06
1895.43,269.17,0.32,404,0.03,8.23,153.79,29.5,1.7,1.5,3.2,0.2,0.32,0.3,0.29
120,5.41,0,238,0.3,7.7,150,29.3,0,0,32,14,16,0.02,0.01
120,5.41,0,275,0.3,7.7,150,29.3,0,0,4,6,50,0.02,0.01
120,5.41,0.42,313,0.3,7.7,150,29.3,0,0,10,1,57,0.02,0.01
180,5.05,0,324,0.1,7.5,150,28.9,0,0,2,1,50,0.03,0.02
180,5.05,0,352,0.1,7.5,150,28.9,0,10,31,18,37.5,0.03,0.02
180,5.05,0,373,0.1,7.5,150,28.9,0,11,30,13,34,0.03,0.02
220,5.27,0,391,0.05,7.4,150,29.9,0,19,30,22,30,0.04,0.03
220,5.27,0,412,0.05,7.4,150,29.9,0,12,22,17,33.3,0.04,0.02
220,5.27,0,445,0.05,7.4,150,29.9,0,22,22,29,21.1,0.04,0.03
220,19.45,0,516,0.08,8,300,29.6,0,17,30,17,0,0.02,0.01
220,19.45,0,551,0.08,8,300,29.6,0,33,41,4,5.3,0.02,0.01
220,19.45,0,600,0.08,8,300,29.6,0,13,13,3,0,0.02,0.01
220,33.38,1.4,157,0.5,8.1,48,35,0,0.67,0.67,20.09,4.83,0.11,0.05
250,24.67,3.05,226,1.2,7.98,48,32,0,0.19,0.19,18.27,0.21,0.13,0.06
250,24.67,3.05,226,0.5,7.98,48,32,0,1.71,1.71,9.09,0.32,0.13,0.06
180,26.89,0.08,275,1.2,8.27,48,29,0,6.77,6.77,16.12,0,0.09,0.05
180,26.89,0.08,275,0.5,8.27,48,29,0,19.29,19.29,5.97,0,0.09,0.05
180,2.4,5.07,307,1.2,7.23,48,27,0,2.6,2.6,20.5,0.04,0.09,0.07
180,2.4,5.07,307,0.5,7.23,48,27,0,14.31,14.31,5.45,0.32,0.09,0.07
